@relation MidiTracks

@attribute melody {YES,NO}
@attribute normalizedDuration numeric
@attribute numberOfNotes numeric
@attribute occupationRate numeric
@attribute polyphonyRate numeric
@attribute highestPith numeric
@attribute normHighestPitch numeric
@attribute lowestPitch numeric
@attribute normLowestPitch numeric
@attribute pitchMean numeric
@attribute normPitchMean numeric
@attribute pitchDeviation numeric
@attribute normPitchDeviation numeric
@attribute numberOfDifferentIntervals numeric
@attribute normNumberOfDifferentIntervals numeric
@attribute largestInterval numeric
@attribute normLargestInterval numeric
@attribute smallestInterval numeric
@attribute normSmallestInterval numeric
@attribute intervalMean numeric
@attribute normIntervalMean numeric
@attribute intervalMode numeric
@attribute normIntervalMode numeric
@attribute intervalDeviation numeric
@attribute normIntervalDeviation numeric
@attribute longestNote numeric
@attribute normLongestNote numeric
@attribute shortestNote numeric
@attribute normShortestNote numeric
@attribute durationMean numeric
@attribute normDurationMean numeric
@attribute durationDeviation numeric
@attribute normDurationDeviation numeric

@data
NO,0.983001,1610,0.979385,0,68,0.270833,32,0.078125,51.380952,0.185661,10.930413,1,55,1,33,1,-33,0,-0.005594,0.50718,0,0.5,11.098882,1,2015.625,0.232024,5.208333,0,334.256797,0.446067,313.038398,0.18958
NO,0.995629,260,0.93838,0.067402,55,0,27,0,40.85,0,8.150307,0.615617,15,0.148936,19,0.5,-7,1,-0.007722,0.499898,-5,0,6.428095,0.384742,2286.458333,0.263444,20.833333,0.081081,302.35273,0.401403,367.702587,0.222685
NO,0.983001,574,0.979385,0,67,0.25,55,0.4375,60.555556,0.347409,3.803832,0.014665,22,0.297872,12,0.25,-12,0.807692,-0.00349,0.514375,0,0.5,6.347416,0.374114,4505.208333,0.520846,109.375,0.540541,470.779718,0.637192,647.033363,0.391852
YES,1,324,0.935819,0.065412,68,0.270833,55,0.4375,61.888889,0.370916,4.067334,0.051097,18,0.212766,12,0.25,-12,0.807692,-0.027864,0.430992,0,0.5,3.546572,0.005174,3937.5,0.454985,36.458333,0.162162,285.085227,0.37723,501.718695,0.303847
NO,0.999757,342,0.835687,0.169288,74,0.395833,46,0.296875,61.588235,0.365616,8.059038,0.602998,28,0.425532,15,0.357143,-17,0.615385,0.005865,0.546381,0,0.5,6.262112,0.362878,2375,0.273716,119.791667,0.594595,617.588141,0.842716,510.557021,0.3092
NO,0.726566,114,0.519208,0.480963,103,1,91,1,97.571429,1,3.697765,0,8,0,5,0,-12,0.807692,-0.035398,0.405217,5,1,5.498076,0.262235,15.625,0,15.625,0.054054,15.625,0,0,0
NO,0.935406,118,0.535077,0.466063,87,0.666667,55,0.4375,74.391304,0.591334,8.18131,0.619904,17,0.191489,17,0.428571,-16,0.653846,-0.153846,0,-1,0.4,3.507295,0,2250,0.259215,36.458333,0.162162,240.655637,0.315031,323.968183,0.196199
NO,0,66,0.486316,0,77,0.458333,53,0.40625,64.181818,0.41134,7.158189,0.478445,16,0.170213,21,0.571429,-12,0.807692,0.138462,1,5,1,8.360856,0.639334,1005.208333,0.114804,197.916667,1,600.203804,0.818379,282.79147,0.171262
NO,0.889752,755,0.938168,0.06227,59,0.083333,36,0.140625,46.769231,0.104356,6.929911,0.446883,28,0.425532,23,0.642857,-23,0.384615,0.025199,0.612523,0,0.5,10.920288,0.976475,8635.416667,1,5.208333,0,729.938272,1,1651.220078,1
YES,?,582,0.965753,0.037643,78,0.756098,55,1,65.8,0.974884,6.607571,0.39199,26,0.377358,14,0.216216,-14,0.769231,-0.008606,0.527306,-2,0,5.794376,0.344293,6495.833333,1,495.833333,1,1963.055556,1,1575.520098,1
NO,?,474,0.993151,0,59,0.292683,35,0,47,0.16212,5.088687,0.242604,21,0.283019,12,0.162162,-15,0.730769,-0.031712,0.302593,3,1,5.494284,0.300576,3995.833333,0.611399,245.833333,0.491525,1497.348485,0.760134,1102.171973,0.696337
NO,?,1372,0.994863,0,88,1,40,0.25,64.611111,0.923486,12.789487,1,59,1,43,1,-34,0,-0.018235,0.433663,0,0.4,10.295437,1,6495.833333,1,4.166667,0,1502.213542,0.762639,1455.055089,0.922719
NO,?,1270,0.993151,0,51,0.097561,36,0.05,43.25,0,4.841229,0.218266,22,0.301887,15,0.243243,-15,0.730769,-0.004728,0.565017,0,0.4,5.967734,0.369548,62.5,0,8.333333,0.008475,21.527778,0,16.724437,0
